Terytorium;Przystąpiło/zdało ;Płeć ;Rok;Liczba osób
Warmińsko-Mazurskie;zdało;mężczyźni;2017;3126
Warmińsko-Mazurskie;zdało;kobiety;2017;3742
Warmińsko-Mazurskie;zdało;mężczyźni;2018;2968
Warmińsko-Mazurskie;zdało;kobiety;2018;3867
Wielkopolskie;Przystąpiło;mężczyźni;2010;14251
Wielkopolskie;Przystąpiło;kobiety;2010;18497
Wielkopolskie;Przystąpiło;mężczyźni;2011;13173
Wielkopolskie;Przystąpiło;kobiety;2011;17444
Wielkopolskie;Przystąpiło;mężczyźni;2012;12877
Wielkopolskie;Przystąpiło;kobiety;2012;16844
Wielkopolskie;Przystąpiło;mężczyźni;2013;11963
Wielkopolskie;Przystąpiło;kobiety;2013;15769
Wielkopolskie;Przystąpiło;mężczyźni;2014;11132
Wielkopolskie;Przystąpiło;kobiety;2014;14789
Wielkopolskie;Przystąpiło;mężczyźni;2015;10760
Wielkopolskie;Przystąpiło;kobiety;2015;13823
Wielkopolskie;Przystąpiło;mężczyźni;2016;10123
Wielkopolskie;Przystąpiło;kobiety;2016;13093
Wielkopolskie;Przystąpiło;mężczyźni;2017;10113
Wielkopolskie;Przystąpiło;kobiety;2017;13015
Wielkopolskie;Przystąpiło;mężczyźni;2018;9824
Wielkopolskie;Przystąpiło;kobiety;2018;12386
Wielkopolskie;zdało;mężczyźni;2010;11337
Wielkopolskie;zdało;kobiety;2010;15243
Wielkopolskie;zdało;mężczyźni;2011;9838
Wielkopolskie;zdało;kobiety;2011;13245
Wielkopolskie;zdało;mężczyźni;2012;10317
Wielkopolskie;zdało;kobiety;2012;13534
Wielkopolskie;zdało;mężczyźni;2013;9524
Wielkopolskie;zdało;kobiety;2013;12803
Wielkopolskie;zdało;mężczyźni;2014;7765
Wielkopolskie;zdało;kobiety;2014;10340
Wielkopolskie;zdało;mężczyźni;2015;7821
Wielkopolskie;zdało;kobiety;2015;10006
Wielkopolskie;zdało;mężczyźni;2016;7964
Wielkopolskie;zdało;kobiety;2016;10246
Wielkopolskie;zdało;mężczyźni;2017;7929
Wielkopolskie;zdało;kobiety;2017;10110
Wielkopolskie;zdało;mężczyźni;2018;7648
Wielkopolskie;zdało;kobiety;2018;9973
Zachodniopomorskie;Przystąpiło;mężczyźni;2010;6235
Zachodniopomorskie;Przystąpiło;kobiety;2010;8349
Zachodniopomorskie;Przystąpiło;mężczyźni;2011;5604
Zachodniopomorskie;Przystąpiło;kobiety;2011;7642
Zachodniopomorskie;Przystąpiło;mężczyźni;2012;5558
Zachodniopomorskie;Przystąpiło;kobiety;2012;7143
Zachodniopomorskie;Przystąpiło;mężczyźni;2013;5468
Zachodniopomorskie;Przystąpiło;kobiety;2013;6939
Zachodniopomorskie;Przystąpiło;mężczyźni;2014;5125
Zachodniopomorskie;Przystąpiło;kobiety;2014;6594
Zachodniopomorskie;Przystąpiło;mężczyźni;2015;4720
Zachodniopomorskie;Przystąpiło;kobiety;2015;5924
Zachodniopomorskie;Przystąpiło;mężczyźni;2016;4368
Zachodniopomorskie;Przystąpiło;kobiety;2016;5488
Zachodniopomorskie;Przystąpiło;mężczyźni;2017;4445
Zachodniopomorskie;Przystąpiło;kobiety;2017;5301
Zachodniopomorskie;Przystąpiło;mężczyźni;2018;4172
Zachodniopomorskie;Przystąpiło;kobiety;2018;5215
Zachodniopomorskie;zdało;mężczyźni;2010;5055
Zachodniopomorskie;zdało;kobiety;2010;6624
Zachodniopomorskie;zdało;mężczyźni;2011;4129
Zachodniopomorskie;zdało;kobiety;2011;5573
Zachodniopomorskie;zdało;mężczyźni;2012;4342
Zachodniopomorskie;zdało;kobiety;2012;5573
Zachodniopomorskie;zdało;mężczyźni;2013;4323
Zachodniopomorskie;zdało;kobiety;2013;5507
Zachodniopomorskie;zdało;mężczyźni;2014;3499
Zachodniopomorskie;zdało;kobiety;2014;4327
Zachodniopomorskie;zdało;mężczyźni;2015;3386
Zachodniopomorskie;zdało;kobiety;2015;4081
Zachodniopomorskie;zdało;mężczyźni;2016;3375
Zachodniopomorskie;zdało;kobiety;2016;4144
Zachodniopomorskie;zdało;mężczyźni;2017;3357
Zachodniopomorskie;zdało;kobiety;2017;3875
Zachodniopomorskie;zdało;mężczyźni;2018;3247
Zachodniopomorskie;zdało;kobiety;2018;3964
